step,train_loss
0,20.25811004638672
4,22.87901496887207
8,11.07571029663086
12,24.192466735839844
16,25.228910446166992
20,21.380714416503906
24,13.343095779418945
28,12.171029090881348
32,17.81509780883789
36,31.304990768432617
40,7.3563232421875
44,27.507211685180664
48,14.084208488464355
52,8.702261924743652
56,3.857308864593506
60,8.961947441101074
64,17.88035011291504
68,13.079217910766602
72,8.40566349029541
76,18.491575241088867
80,15.911561012268066
84,19.089204788208008
88,19.699527740478516
92,13.265974998474121
96,16.02350425720215
100,24.857566833496094
104,7.7107768058776855
108,9.58706283569336
112,10.539916038513184
116,15.41592788696289
120,11.058807373046875
124,9.712221145629883
128,9.449272155761719
132,23.659284591674805
136,6.346968173980713
140,7.986296653747559
144,10.318942070007324
148,17.319934844970703
152,18.261507034301758
156,13.286312103271484
160,10.43118953704834
164,9.651061058044434
168,14.103541374206543
172,19.342866897583008
176,8.582615852355957
180,7.920536994934082
184,12.4841947555542
188,9.746949195861816
192,13.000736236572266
196,6.569239139556885
200,5.617210388183594
204,10.862469673156738
208,8.629441261291504
212,11.111114501953125
216,3.3870646953582764
220,14.249370574951172
224,10.003700256347656
228,14.361839294433594
232,8.918062210083008
236,8.84653091430664
240,14.003551483154297
244,15.380380630493164
248,10.02974796295166
252,5.645009517669678
256,11.135245323181152
260,14.336959838867188
264,7.252574920654297
268,13.620638847351074
272,24.630685806274414
276,12.381315231323242
280,5.408586025238037
284,16.359207153320312
288,8.23132038116455
292,9.81438159942627
296,14.363916397094727
300,15.21996021270752
304,7.839861869812012
308,10.524757385253906
312,7.457184314727783
316,9.782865524291992
320,12.90903377532959
324,6.467512607574463
328,2.7484183311462402
332,8.643146514892578
336,7.541511058807373
340,4.005826473236084
344,13.7988862991333
348,11.737363815307617
352,5.376425743103027
356,6.828219413757324
360,3.987318992614746
364,10.820013999938965
368,9.70277214050293
372,15.149534225463867
376,5.341212272644043
380,7.1529107093811035
384,10.858872413635254
388,15.278555870056152
392,9.790009498596191
396,8.99081039428711
400,8.591136932373047
404,4.615771770477295
408,7.826272964477539
412,4.0610551834106445
416,9.071016311645508
420,11.01548957824707
424,9.088119506835938
428,9.83682632446289
432,14.33197021484375
436,5.631922245025635
440,7.200331687927246
444,7.8924784660339355
448,6.6405839920043945
452,6.367819309234619
456,2.35202956199646
460,5.171440124511719
464,13.655177116394043
468,6.4513468742370605
472,12.302749633789062
476,2.8271560668945312
480,8.96061897277832
484,7.504339694976807
488,9.026447296142578
492,9.904877662658691
496,13.742362976074219
500,7.9337239265441895
504,13.678339004516602
508,6.558125019073486
512,7.065618991851807
516,7.960666656494141
520,3.7381479740142822
524,5.466485023498535
528,6.427608966827393
532,7.1235737800598145
536,9.89966869354248
540,8.983050346374512
544,7.290165901184082
548,4.555890083312988
552,12.141785621643066
556,9.27048397064209
560,7.720931053161621
564,4.490867614746094
568,4.265041351318359
